DNI|IdMateria|PrimerParcial|SegundoParcial|Recuperatorio|Final
140|1|8|8|||
141|1|8|8|8|
142|1|8|8|5|
143|1|8|8|2|
144|1|8|5|8|
145|1|8|5||
146|1|8|5|5|
147|4|8|5|2|
148|4|8|2|8|
149|4|8||8|
150|4|8|2|5|
151|4|8||5|
152|4|8|2||
153|4|8|2|2|
154|4|8|||
155|1|8||2|
156|1|5|8|8|
157|1|5|8|5|
158|1|5|8||
159|2|5|8|2|
160|2|5|5||
161|2|5|5|5|
162|2|5|5|8|
163|2|5|5|2|
164|2|5|2|5|
165|2|5||5|
166|2|5|2|8|
167|2|5||8|
168|1|5|2||
169|1|5|||
170|1|5|2|2|
171|1|5||2|
172|3|2|8|8|
173|3||8|8|
174|3|2|8|5|
175|3||8|5|
176|3|2|8||
177|3||8||
178|3|2|8|2|
179|3||8|2|
180|3|2|5|5|
181|3||5|5|
182|3|2|5||
183|3|2|5|2|
184|3|2|2||
185|1|2|2|2|
186|1|2|2|5|
187|1|2|2|8|
188|1|2|||
189|1|2||2|
190|2|2||5|
191|2|2||8|
192|2||2||
193|2||2|2|
194|5||2|5|
195|5||2|8|
196|5|||2|
197|5|||5|
198|5|||8|
199|6|8|8||
